t,qw,qx,qy,qz,err_deg,wx,wy,wz,tx,ty,tz,loop_us
4601,0.009,-1,0,0,0,0,0,0,0,0,0.01,2016
4617,0.009,-1,0,0,0,0,0,0,0,0,0.01,2016
4632,0.009,-1,0,0,0,0,0,0,0,0,0.01,2020
4646,0.009,-1,0,0,0,0,0,0,0,0,0.01,2016
4662,0.009,-1,0,0,0,0,0,0,0,0,0.01,2004
4677,0.009,-1,0,0,0,0,0,0,0,0,0.01,2020
4691,0.009,-1,0,0,0,0,0,0,0,0,0.01,2012
4707,0.009,-1,0,0,0,0,0,0,0,0,0.01,2008
4721,0.009,-1,0,0,0,0,0,0,0,0,0.01,2012
4737,0.009,-1,0,0,0,0,0,0,0,0,0.01,2012
4752,0.009,-1,0,0,0,0,0,0,0,0,0.01,2004
4766,0.009,-1,0,0,0,0,0,0,0,0,0.01,2016
4782,0.009,-1,0,0,0,0,0,0,0,0,0.01,2012
4797,0.009,-1,0,0,0,0,0,0,0,0,0.01,2008
4811,0.009,-1,0,0,0,0,0,0,0,0,0.01,2012
4827,0.009,-1,0,0,0,0,0,0,0,0,0.01,2012
4842,0.009,-1,0,0,0,0,0,0,0,0,0.01,2000
4856,0.009,-1,0,0,0,0,0,0,0,0,0.01,2008
4872,0.009,-1,0,0,0,0,0,0,0,0,0,2000
4887,0.009,-1,0,0,0,0,0,0,0,0,0,2008
4901,0.009,-1,0,0,0,0,0,0,0,0,0,2016
4917,0.009,-1,0,0,0,0,0,0,0,0,0,2012
4931,0.009,-1,0,0,0,0,0,0,0,0,0,2020
4946,0.009,-1,0,0,0,0,0,0,0,0,0,2012
4962,0.009,-1,0,0,0,0,0,0,0,0,0,2004
4976,0.009,-1,0,0,0,0,0,0,0,0,0,2016
4992,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5007,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5021,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5037,0.009,-1,0,0,0,0,0,0,0,0,0,2016
5052,0.009,-1,0,0,0,0,0,0,0,0,0,2008
5066,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5082,0.009,-1,0,0,0,0,0,0,0,0,0,2004
5097,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5111,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5127,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5141,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5156,0.009,-1,0,0,0,0,0,0,0,0,0,2020
5172,0.009,-1,0,0,0,0,0,0,0,0,0,2004
5186,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5201,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5217,0.009,-1,0,0,0,0,0,0,0,0,0,2008
5231,0.009,-1,0,0,0,0,0,0,0,0,0,2016
5246,0.009,-1,0,0,0,0,0,0,0,0,0,2016
5262,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5276,0.009,-1,0,0,0,0,0,0,0,0,0,2008
5292,0.009,-1,0,0,0,0,0,0,0,0,0,2004
5306,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5321,0.009,-1,0,0,0,0,0,0,0,0,0,2016
5337,0.009,-1,0,0,0,0,0,0,0,0,0,2008
5351,0.009,-1,0,0,0,0,0,0,0,0,0,2016
5366,0.009,-1,0,0,0,0,0,0,0,0,0,2016
5382,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5396,0.009,-1,0,0,0,0,0,0,0,0,0,2016
5411,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5427,0.009,-1,0,0,0,0,0,0,0,0,0,2004
5441,0.009,-1,0,0,0,0,0,0,0,0,0,2008
5456,0.009,-1,0,0,0,0,0,0,0,0,0,2008
5472,0.009,-1,0,0,0,0,0,0,0,0,0,2008
5486,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5501,0.009,-1,0,0,0,0,0,0,0,0,0,2008
5517,0.009,-1,0,0,0,0,0,0,0,0,0,2020
5531,0.009,-1,0,0,0,0,0,0,0,0,0,2016
5547,0.009,-1,0,0,0,0,0,0,0,0,0,2004
5561,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5576,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5592,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5606,0.009,-1,0,0,0,0,0,0,0,0,0,2020
5621,0.009,-1,0,0,0,0,0,0,0,0,0,2016
5637,0.009,-1,0,0,0,0,0,0,0,0,0,2004
5651,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5666,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5682,0.009,-1,0,0,0,0,0,0,0,0,0,2008
5696,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5711,0.009,-1,0,0,0,0,0,0,0,0,0,2012
5727,0.009,-1,0,0,0,0,0,0,0,0,0,2024
